stt,tinh,quan_huyen,xa_phuong,duong_pho,kc_duong_chinh,min_dorong_ngo,dien_tich,mat_tien,so_mattien,thoi_diem_hieu_luc,district,ward,REF_TINH_CODE,REF_HUYEN_CODE,REF_XA_CODE,don_gia1
17254,Thành phố Hà Nội,Huyện Hoài Đức,Xã Kim Chung,Yên Vĩnh,0,3.7,235,14.63,1,2021-10-07 00:00:00,hoài đức,hòai đức_kim chung,148873,151598,195426,0.043048133
17274,Thành phố Hà Nội,Huyện Gia Lâm,Xã Ninh Hiệp,Đường Ninh Hiệp,40,5.5,90,5.05,1,2021-10-06 00:00:00,gia lâm,gia lâm_ninh hiệp,148873,151480,151554,0.298569354
17281,Thành phố Hà Nội,Huyện Sóc Sơn,Xã Mai Đình,Đường tỉnh lộ 131,900,5,102,6,1,2021-10-07 00:00:00,sóc sơn,sóc sơn_mai đình,148873,152186,152244,0.010784313
17282,Thành phố Hà Nội,Huyện Sóc Sơn,Xã Mai Đình,Đường tỉnh lộ 131,1000,5,204,12,2,2021-10-07 00:00:00,sóc sơn,sóc sơn_mai đình,148873,152186,152244,0.010710784
17314,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Thanh Đa,Đường liên thôn,0,3.8,100,5,1,2021-09-27 00:00:00,phúc thọ,phúc thọ_thanh đa,148873,151998,152060,0.012
17321,Thành phố Hà Nội,Huyện Thạch Thất,Xã Dị Nậu,Đường liên thôn,0,7.5,144,8,1,2021-09-27 00:00:00,thạch thất,thạch thất_dị nậu,148873,152286,152349,0.027777778
17359,Thành phố Hà Nội,Huyện Hoài Đức,Xã Song Phương,Đại Lộ Thăng Long,450,2.7,331,11.92,1,2021-10-07 00:00:00,hoài đức,hòai đức_song phương,148873,151598,151663,0.015109701
17392,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Thanh Đa,Đường liên thôn,0,3.8,100,5,1,2021-09-27 00:00:00,phúc thọ,phúc thọ_thanh đa,148873,151998,152060,0.012
17393,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Thanh Đa,Đường liên thôn,0,3.8,100,5,1,2021-09-27 00:00:00,phúc thọ,phúc thọ_thanh đa,148873,151998,152060,0.012
17394,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Thanh Đa,Đường liên thôn,0,3.8,88,5,2,2021-09-27 00:00:00,phúc thọ,phúc thọ_thanh đa,148873,151998,152060,0.012
17395,Thành phố Hà Nội,Huyện Thạch Thất,Xã Dị Nậu,Đường liên thôn,0,4.3,69,5,1,2021-09-27 00:00:00,thạch thất,thạch thất_dị nậu,148873,152286,152349,0.025165926
17399,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Vĩnh Tuy,Yên Lạc,0,6,58,5.5,1,2021-09-30 00:00:00,hai bà trưng,hai bà trưng_vĩnh tuy,148873,149556,195334,0.139120689
17400,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Vĩnh Tuy,Yên Lạc,0,5.5,92.8,4.83,1,2021-09-30 00:00:00,hai bà trưng,hai bà trưng_vĩnh tuy,148873,149556,195334,0.129033965
17404,Thành phố Hà Nội,Huyện Thạch Thất,Xã Dị Nậu,Đường liên thôn,0,7.5,144,8,1,2021-09-27 00:00:00,thạch thất,thạch thất_dị nậu,148873,152286,152349,0.028125
17405,Thành phố Hà Nội,Huyện Thạch Thất,Xã Dị Nậu,Đường liên thôn,0,7.5,144,8,1,2021-09-27 00:00:00,thạch thất,thạch thất_dị nậu,148873,152286,152349,0.027777778
17413,Thành phố Hà Nội,Huyện Đan Phượng,Xã Đồng Tháp,Đường quốc lộ 32: Đoạn qua địa phận xã Đồng Tháp,1400,2.7,51.90000001,4.1,1,2021-09-30 00:00:00,đan phượng,đan phượng_đồng tháp,148873,151297,151333,0.015080952
17447,Thành phố Hà Nội,Quận Thanh Xuân,Phường Nhân Chính,Quan Nhân,220,1.83,107.4,3.98,1,2021-09-28 00:00:00,thanh xuân,thanh xuân_nhân chính,148873,150965,195354,0.049884484
17481,Thành phố Hà Nội,Huyện Thanh Trì,Xã Vĩnh Quỳnh,Đường Vĩnh Quỳnh - Đại Áng Từ hết địa phận xã Vĩnh Quỳnh đến hết địa phận xã Đại Áng,2000,2,59.99999999,4,1,2021-10-04 00:00:00,thanh trì,thanh trì_vĩnh quỳnh,148873,152474,152557,0.021666667
17482,Thành phố Hà Nội,Huyện Thanh Trì,Xã Vĩnh Quỳnh,Đường Vĩnh Quỳnh - Đại Áng Từ hết địa phận xã Vĩnh Quỳnh đến hết địa phận xã Đại Áng,1000,2,33.9,3.8,1,2021-10-04 00:00:00,thanh trì,thanh trì_vĩnh quỳnh,148873,152474,152557,0.02066054
17483,Thành phố Hà Nội,Huyện Thạch Thất,Xã Canh Nậu,Đường liên thôn,30,1.65,123,10.7,1,2021-10-04 00:00:00,thạch thất,thạch thất_canh nậu,148873,152286,152353,0.007888333
17489,Thành phố Hà Nội,Huyện Sóc Sơn,Xã Phù Lỗ,Quốc lộ 2A,400,3,120,5,1,2021-09-27 00:00:00,sóc sơn,sóc sơn_phù lỗ,148873,152186,152236,0.0119
17490,Thành phố Hà Nội,Huyện Sóc Sơn,Xã Phù Lỗ,Quốc lộ 2A,100,3,64,5.4,1,2021-09-27 00:00:00,sóc sơn,sóc sơn_phù lỗ,148873,152186,152236,0.01484375
17491,Thành phố Hà Nội,Huyện Sóc Sơn,Xã Phù Lỗ,Quốc lộ 2A,320,2.5,90,4.6,1,2021-09-27 00:00:00,sóc sơn,sóc sơn_phù lỗ,148873,152186,152236,0.012220063
17542,Thành phố Hà Nội,Quận Hà Đông,Phường Yên Nghĩa,Yên Bình,120,2.5,38,3.5,1,2021-09-29 00:00:00,hà đông,hà đông_yên nghĩa,148873,149779,195409,0.028157895
17543,Thành phố Hà Nội,Quận Hà Đông,Phường Yên Nghĩa,Yên Bình,130,2.3,30.9,3.2,1,2021-09-29 00:00:00,hà đông,hà đông_yên nghĩa,148873,149779,195409,0.026435829
17560,Thành phố Hà Nội,Quận Thanh Xuân,Phường Khương Mai,Lê Trọng Tấn,130,4.5,52.9,5,1,2021-10-07 00:00:00,thanh xuân,thanh xuân_khương mai,148873,150965,195357,0.169397448
17566,Thành phố Hà Nội,Huyện Sóc Sơn,Xã Tiên Dược,Mặt QL3,0,16,165,6,1,2021-09-28 00:00:00,sóc sơn,sóc sơn_tiên dược,148873,152186,152272,0.033939394
